Plot,Species,Lifeform,Treatment,Structure,photo,lma,wp,leaf.n,g,e,phis2,wue,rld,srl,rdiam,fitness,canopy,rtd,relfit,relcanopy
D3-7,Avba,A,L,D,7.598635447,52.10994967,-2.2,4.71,0.097517692,2.448704777,0.133868545,5.343509605,3.504583815,88.27372093,0.3241,10.98,0.02448,0.136942675,1.0103648,-0.554909091
D4-5,Avba,A,L,D,29.09587164,52.96222664,-2.3,4.01,0.499386753,5.233573172,0.143,4.669211196,9.149482761,62.79903676,0.4116,2.62,0.012012,0.119726859,0.241088868,-0.7816
D5-8,Avba,A,L,D,13.78371501,58.63970588,-2,3.38,0.112328727,1.355002723,0.113,8.245700246,1.525570478,144.9408696,0.2595,4.52,0.011934,0.130188679,0.415924307,-0.783018182
D6-8,Avba,A,L,D,4.433190345,63.62017804,-2,2.9,0.063937113,2.292707135,0.144748385,3.347032787,,,,7.3,0.01848,,0.67173616,-0.664
D7-7,Avba,A,L,D,26.03106236,50.70671378,-2.4,5.1,0.342039543,4.823051272,0.164172815,5.200657769,6.883372021,71.65269565,0.3693,9.36,0.044544,0.130385488,0.861294583,-0.190109091
D8-7,Avba,A,L,D,25.05117184,57.44941754,-2.5,4.22,0.179779231,1.91231834,0.188,11.62952646,,,,10.03,0.038584,,0.92294708,-0.298472727
E1-7,Avba,A,L,E,13.0164756,49.05905256,-2.8,4.04,0.065669549,0.794578172,0.15,14.14705882,,,,5.12,0.015873,,0.471135499,-0.7114
E2-3,Avba,A,L,E,5.020850808,65.60992419,-2.8,3.14,0.057407899,0.943307676,0.103,6.00660066,3.334776995,87.20073394,0.337,7.6,0.013986,0.128235294,0.699341756,-0.745709091
E3-4,Avba,A,L,E,14.59658415,70.43372022,-2.35,2.53,0.064507425,0.73722772,0.149,17.64175258,,,,4.14,0.01881,,0.380957219,-0.658
E4-9,Avba,A,L,E,26.58211414,52.19008264,-2.2,4.12,0.175510744,2.431140152,0.195,9.469879518,0.876732316,54.82255102,0.4006,9.55,0.031824,0.144117647,0.878778127,-0.421381818
E5-5,Avba,A,L,E,14.69941971,47.26911619,-1.7,1.69,0.177453919,2.907753693,0.141,6.304068522,0.754779636,205.3509091,0.2574,11.23,0.018018,0.091666667,1.033369463,-0.6724
E6-5,Avba,A,L,E,19.51880357,57.39743058,-2.3,2.99,0.188047226,2.706474097,0.201,7.056277056,,,,1.98,0.02214,,0.182196931,-0.597454545
E7-8,Avba,A,L,E,11.2307984,53.39178588,-2.4,4.38,0.089849272,1.618967512,0.18638298,8.361457464,4.816029928,79.68058047,0.3924,8.74,0.021216,0.103835616,0.804243019,-0.614254545
E8-9,Avba,A,L,E,6.303183103,68.67612293,-1.5,2.39,0.074583935,1.437602967,0.180329361,6.038108364,2.439205434,51.84762712,0.432,2.18,0.018228,0.131696429,0.200600661,-0.668581818
F1-8,Avba,A,M,F,13.99235731,61.03896104,-1.9,2.58,0.130117323,2.104473724,0.126826832,7.151351425,2.596673292,53.24543165,0.3161,4.76,0.02261,0.239655172,0.438008784,-0.588909091
F2-5,Avba,A,M,F,25.1554192,44.67120181,-1.5,3.41,0.23842748,2.085508179,0.217,9.831460674,4.654768914,115.5100995,0.2911,14.22,0.046905,0.130519481,1.308505232,-0.147181818
F3-5,Avba,A,M,F,22.4135274,54.75866757,-1.2,3.54,0.287230235,4.508119426,0.246,5.816435432,1.963861859,99.95459184,0.2729,19.99,0.08418,0.171929825,1.839452855,0.530545455
F4-9,Avba,A,M,F,33.51603754,54.64864865,-1.35,3.56,0.323555906,3.404658481,0.18852282,8.298558564,,,,16.58,0.037296,,1.525669251,-0.321890909
F5-7,Avba,A,M,F,30.98513292,70.04900548,-1.5,4.06,0.489820231,6.543865299,0.209,4.868755292,,,,8.49,0.0504,,0.781238356,-0.083636364
F6-9,Avba,A,M,F,25.94142509,67.32923744,-1.65,2.95,0.431493214,6.369661731,0.186,4.213098729,3.245068147,52.00911854,0.3499,10.8,0.03876,0.199393939,0.993801442,-0.295272727
F7-4,Avba,A,M,F,24.76104212,56.04182804,-1.4,3.22,0.498530185,7.252413273,0.174,3.933764136,,,,5.29,0.03348,,0.486778669,-0.391272727
F8-3,Avba,A,M,F,30.06370028,69.07829534,-1.3,3.16,0.475701032,6.288717838,0.199,5.217821782,2.585992809,76.31252525,0.3423,27.03,0.06566,0.142446043,2.487264165,0.193818182
G1-9,Avba,A,H,G,16.80868095,62.18402427,-1.7,2.89,0.145282592,1.586977993,0.188,9.686231082,1.816690506,131.0882278,0.2222,7.73,0.09472,0.1975,0.71130418,0.722181818
G2-8,Avba,A,H,G,34.68579476,39.1611802,-1.5,4.5,0.614460191,6.923865908,0.14,4.342205323,4.352854338,122.8676329,0.2524,19.19,0.46,0.162992126,1.765837933,
G3-5,Avba,A,H,G,20.66870242,60.59013743,-1.2,2.04,0.143058127,1.549050456,0.134,11.52277362,2.161519668,102.6804545,0.2448,16.45,0.09408,0.20625,1.513706826,0.710545455
G4-4,Avba,A,H,G,29.30748055,63.06702776,-1.2,2.28,0.53898555,5.75142684,0.16703966,4.497755744,,,,5.34,0.06726,,0.491379602,0.222909091
G5-8,Avba,A,H,G,8.641267917,60.96829477,-1.4,2.09,0.110851445,1.458284646,0.138,6.634615385,,,,2.4227,0.010584,,0.222933588,-0.807563636
G6-6,Avba,A,H,G,19.20374897,49.3964997,-2.05,4.14,0.23062002,3.922646465,0.196,5.691275168,4.048059035,90.27744275,0.3028,15.23,0.08424,0.154117647,1.401444071,0.531636364
G7-8,Avba,A,H,G,40.01139354,44.75524476,-1.65,4.98,0.590890419,7.104383221,0.237,5.083260298,3.816476539,127.7597987,0.2785,8.86,0.013932,0.128448276,0.815285257,-0.746690909
G8-8,Avba,A,H,G,42.93454406,36.33295838,-1.9,5.07,0.820208402,8.002404806,0.260137878,4.743626743,,,,,,,,
H1-8,Avba,A,L,H,25.34665175,53.32475332,-2.8,4.45,0.26208229,3.594844036,0.122295684,5.950892504,1.037121825,179.4735714,0.245,14.07,0.043904,0.116666667,1.294702434,-0.201745455
H2-6,Avba,A,L,H,7.4244268,61.53846154,-1.9,2.34,0.07150071,1.124504645,0.136,6.977040816,,,,2.71,0.00486,,0.249370547,-0.911636364
H4-7,Avba,A,L,H,4.159124244,50.92190889,-1.8,3.13,0.054917318,0.959496454,0.126,5.197923426,,,,5.1,0.014688,,0.469295125,-0.732945455
H5-5,Avba,A,L,H,15.31811965,60.85740913,-1.9,3.36,0.109664924,1.423535077,0.144,10.39917695,1.6431081,69.8377193,0.324,9.22,0.03364,0.172727273,0.848411972,-0.388363636
H6-5,Avba,A,L,H,11.5971485,57.43931088,-1.55,2.64,0.113730421,1.511140316,0.132,8.282229965,,140.655,0.2625,3.14,0.01482,0.125,0.288938567,-0.730545455
H7-2,Avba,A,L,H,25.0189279,48.25174825,-1.7,3.67,0.184740049,1.815128353,0.18,12.16910312,,,,1.83,0.01463,,0.168394133,-0.734
H8-9,Avba,A,L,H,38.76781116,47.72420009,-1.5,4.15,0.476361751,4.434737486,0.206366862,7.424567403,2.476699853,97.90080292,0.321,13.08,0.05376,0.125688073,1.203603969,-0.022545455
I1-2,Avba,A,M,I,21.08468389,61.82490051,-1.9,3.25,0.264957017,3.131138982,0.133640697,6.184459951,,,,22.39,0.10792,,2.060297619,0.962181818
I2-3,Avba,A,M,I,12.02740322,71.38671875,-2.1,2.18,0.119799504,1.988424765,0.135,7.353081701,1.733816018,86.93861111,0.3779,5.2,0.008832,0.102857143,0.478496991,-0.839418182
I3-7,Avba,A,M,I,31.45480068,54.00122175,-1.85,4.09,0.420020092,5.662813836,0.194,5.429056924,,,,9.95,0.06804,,0.915585588,0.237090909
I4-4,Avba,A,M,I,8.987079304,69.3901717,-0.85,2,0.101787304,1.589699369,0.162,6.294876264,0.766267433,52.71816092,0.3764,4.52,0.050568,0.170588235,0.415924307,-0.080581818
I5-7,Avba,A,M,I,15.40614762,39.95593096,-1.35,4.09,0.124616029,1.695531568,0.156,9.660130719,1.598298156,88.88813008,0.3028,10.58,0.118188,0.155696203,0.973557339,1.148872727
I6-2,Avba,A,M,I,10.45308253,74.87153135,-1.8,1.96,0.107601199,2.303837554,0.193,6.141618497,,,,5,0.055692,,0.46009326,0.012581818
I7-6,Avba,A,M,I,35.43334563,51.03950104,-0.8,3.88,0.59813777,7.618885147,0.227,4.588804423,3.510099959,108.089799,0.2759,12.59,0.081282,0.154263566,1.158514829,0.477854545
I8-3,Avba,A,M,I,35.98213944,45.21276596,-1.45,4.23,0.501767411,5.628169589,0.235244081,6.058337421,1.396465237,161.4628302,0.2525,23.95,0.20412,0.123255814,2.203846717,2.711272727
A1-3,Brma,A,M,A,25.74561569,42.04364023,-2.2,2.99,0.318406957,3.34520754,0.136757787,6.372989834,9.437086451,148.9596835,0.2603,40.12,0.03276,0.1264,1.099644842,-0.137894737
A2-4,Brma,A,M,A,21.44404174,40.10519395,-2.1,2.98,0.220456493,2.874503389,0.176,7.395663957,,,,29.95,0.03588,,0.820896387,-0.055789474
A3-5,Brma,A,M,A,14.37343935,43.50282486,-2,2.61,0.096922972,1.324207909,0.10526535,11.45695163,5.955405127,247.0136567,0.218,24.75,0.022308,0.108064516,0.678370136,-0.412947368
A4-5,Brma,A,M,A,23.21428878,44.80151229,-1.5,2.6,0.453443172,6.4853693,0.19,3.531827515,7.855249153,133.4243895,0.3216,17.54,0.01976,0.092225201,0.480752007,-0.48
A6-9,Brma,A,M,A,8.854044169,51.10197983,-2.2,3.89,0.139893077,2.93494269,0.159,4.546906188,3.30979772,204.5859036,0.2297,41.42,0.0648,0.118571429,1.135276405,0.705263158
A7-2,Brma,A,M,A,24.97945613,45.09530451,-1.85,2.5,0.447144972,5.118018229,0.161,4.372907154,3.010585246,198.7146316,0.2496,23.94,0.034944,0.10326087,0.656168931,-0.080421053
A8-9,Brma,A,M,A,14.87975349,43.78600823,-2.7,2.97,0.179485599,2.837831643,0.159911297,5.309208259,,,,15.95,0.016354,,0.437171865,-0.569631579
B1-2,Brma,A,H,B,11.8159769,45.85839889,-1.8,3.2,0.123209637,2.870038926,0.191134366,5.900477687,,,,30.44,0.03795,,0.834326745,-0.001315789
B2-6,Brma,A,H,B,21.17584815,42.36298293,-1.75,2.25,0.322185291,3.304854343,0.096588663,5.243605111,7.17006455,208.5339796,0.2259,41.06,0.03726,0.119512195,1.125409203,-0.019473684
B3-1,Brma,A,H,B,16.08484871,46.30071599,-1.5,2.68,0.404749195,5.307423692,0.124780445,3.136076269,,,,55.79,0.07139,,1.529142217,0.878684211
B4-7,Brma,A,H,B,26.94011848,45.29411765,-1.55,3.01,0.476041818,3.820549401,0.131838451,5.363146774,,,,50.31,0.0675,,1.378941476,0.776315789
B5-1,Brma,A,H,B,17.59256811,45.65344224,-1.8,3.23,0.183956867,3.018037999,0.15957215,6.444732514,10.4345437,207.9779371,0.239,136.95,0.07488,0.107116105,3.753648085,0.970526316
B6-9,Brma,A,H,B,32.22032296,40.31856645,-2.1,3.18,0.433094838,4.779376165,0.186477122,5.977995745,9.530550602,206.6845652,0.2249,107.05,0.12376,0.121693122,2.934122143,2.256842105
B7-2,Brma,A,H,B,17.60633812,35.64735945,-2.26,3.28,0.25724009,2.875740397,0.095287082,5.528100713,12.18651236,254.8080309,0.1927,78.42,0.108072,0.134196891,2.149405497,1.844
B8-8,Brma,A,H,B,21.18326461,40.19138756,-1.4,2.87,0.225347168,3.533884086,0.126345335,4.732754007,6.346870868,160.5393074,0.2386,66.89,0.04389,0.139156627,1.833380945,0.155
C1-2,Brma,A,H,C,23.40765219,54.19847328,-1.5,2.72,0.454246741,6.022178903,0.127280097,3.836679337,15.12161481,219.5446113,0.2152,60.67,0.11368,0.125167785,1.662897622,1.991578947
C2-8,Brma,A,H,C,24.16896179,42.62505344,-1.8,3.19,0.318023955,4.02795241,0.226,6.156862745,5.828205972,325.720098,0.1827,63.58,0.17388,0.117241379,1.742657505,3.575789474
C3-2,Brma,A,H,C,13.47106523,35.14211886,-1.4,3.05,0.245104719,5.092910136,0.131534115,3.62269256,,,,43.24,0.01599,,1.185160593,-0.579210526
C4-6,Brma,A,H,C,25.5954761,39.81873112,-1.9,2.63,0.457749523,4.584815062,0.113710899,4.654800887,8.125631633,241.2491204,0.2144,118.63,0.03108,0.114893617,3.25151714,-0.182105263
C5-2,Brma,A,H,C,10.97211981,44.8038935,-1.45,2.97,0.131527126,2.364118473,0.138,5.70155902,6.258916892,290.0707317,0.2056,82.02,0.04085,0.104237288,2.248077517,0.075
C6-6,Brma,A,H,C,31.72180777,44.03306973,-1.8,3.07,0.47139879,6.696383965,0.218057377,4.750247408,9.849203448,251.0547967,0.2113,79.5,0.037023,0.113364055,2.179007103,-0.025710526
C7-2,Brma,A,H,C,19.36006765,36.76199262,-1.7,2.84,0.233956006,2.816501548,0.098993387,6.030246089,,,,42.98,0.04389,,1.17803428,0.155
C8-5,Brma,A,H,C,16.88118152,43.08943089,-1.4,2.17,0.243368061,3.803007962,0.11341261,4.656477122,,,,36.57,0.046176,,1.002343267,0.215157895
D1-1,Brma,A,L,D,17.08405125,46.97640118,-3.5,3.65,0.132593022,2.037169493,0.14,8.799368088,2.483249993,110.2705797,0.2762,7.85,0.013572,0.151648352,0.215159821,-0.642842105
D2-3,Brma,A,L,D,11.20110609,54.15986949,-4.2,2.83,0.080242379,0.965483172,0.107,11.33333333,0.919040006,275.7342105,0.2401,4.97,0.017205,0.079166667,0.136222205,-0.547236842
D3-5,Brma,A,L,D,7.779470733,48.33424358,-4.5,4.38,0.101053416,2.577594378,0.196,4.945454545,2.585900565,140.904902,0.2831,13.92,0.015466,0.113333333,0.38153181,-0.593
D4-8,Brma,A,L,D,23.04586631,48.43918192,-4.1,3.23,0.385144455,4.399000744,0.141810342,4.81279789,,,,12.74,0.015048,,0.349189314,-0.604
D5-6,Brma,A,L,D,17.29066171,49.1902834,-3.1,3.5,0.103268883,1.314849438,0.157,11.09104046,3.902471618,95.06786325,0.2946,13.96,0.014112,0.153947368,0.382628166,-0.628631579
D6-9,Brma,A,L,D,5.54549727,54.14175918,-3.6,3.47,0.084640691,2.399762062,0.203,3.451050514,3.213777847,139.6738298,0.2618,10.34,0.021672,0.133018868,0.283407968,-0.429684211
D7-6,Brma,A,L,D,6.81848754,49.69485615,-5.6,3.27,0.078012087,1.145788758,0.150098108,5.806648871,,,,18.3,0.018,,0.501582767,-0.526315789
D8-8,Brma,A,L,D,15.3854823,48.94736842,-3.4,3.23,0.095098576,1.10584158,0.123,12.57731959,,,,13.25,0.010912,,0.363167851,-0.712842105
E1-5,Brma,A,L,E,10.4998667,46.39443962,-4.7,3.3,0.057857175,0.698276255,0.091,12.80272109,1.240963751,181.6313514,0.2296,3.88,0.007128,0.132142857,0.10634651,-0.812421053
E2-8,Brma,A,L,E,3.325030738,55.74912892,-7.5,2.7,0.07672911,1.192748879,0.112,3.147601476,,,,2.32,0.00506,,0.063588635,-0.866842105
E3-5,Brma,A,L,E,18.68069127,46.05263158,-3.3,3.65,0.08388976,0.894681073,0.169,18.06954436,,,,9.8,0.009792,,0.268607165,-0.742315789
E4-5,Brma,A,L,E,24.06148563,40.97165992,-3.8,3.7,0.139565956,2.122990219,0.149,9.787771602,1.982617013,165.7601333,0.243,7.44,0.011774,0.129310345,0.203922174,-0.690157895
E5-6,Brma,A,L,E,11.71041295,51.32935431,-2.45,3.16,0.167051665,2.881349424,0.216648408,5.396909234,1.790508747,217.9560417,0.2562,24.84,0.023985,0.088888889,0.680836936,-0.368815789
E6-4,Brma,A,L,E,19.2097451,50.53525286,-3.1,2.99,0.156940349,2.132373531,0.183,9.010989011,,,,14.93,0.010179,,0.409214793,-0.732131579
E7-1,Brma,A,L,E,9.206240153,40.7239819,-3.2,3.97,0.078453486,1.272578564,0.134568122,8.57509163,1.881855759,180.1875,0.2376,16.37,0.018496,0.125490196,0.448683601,-0.513263158
E8-6,Brma,A,L,E,7.95929913,46.32012352,-2.3,3.07,0.099078332,2.157350773,0.15,5.049382716,3.496909407,134.5908029,0.2748,21.31,0.01617,0.125688073,0.584083539,-0.574473684
F1-7,Brma,A,M,F,7.868151536,40.81225033,-2.3,2.2,0.085130222,1.521867635,0.093199234,5.780096517,4.675982197,159.3520109,0.2431,25.3,0.014784,0.135294118,0.693445028,-0.610947368
F2-4,Brma,A,M,F,18.17743257,43.10798946,-2.35,2.78,0.194491212,2.155806207,0.128,7.630434783,5.579162679,130.1064091,0.2542,38.69,0.03168,0.151724138,1.060450124,-0.166315789
F3-7,Brma,A,M,F,16.59080912,49.25037481,-1.5,2.71,0.209870899,3.487874826,0.206,5.595588235,4.035420307,197.3360784,0.244,11.96,0.0238,0.108510638,0.327810377,-0.373684211
F4-8,Brma,A,M,F,25.28454277,45.57721139,-2.1,2.96,0.293217856,3.167382966,0.123793866,6.69447864,,,,44.38,0.07564,,1.216406733,0.990526316
F5-6,Brma,A,M,F,22.51108909,38.39752936,-1.4,3.31,0.390851423,5.557978954,0.228,4.206451613,9.07931038,172.8322022,0.2409,24.35,0.02223,0.12706422,0.667406578,-0.415
F6-5,Brma,A,M,F,25.10102378,46.07305936,-1.9,2.62,0.545981355,6.918497637,0.167,3.564775614,,,,25.86,0.022176,,0.708794009,-0.416421053
F7-5,Brma,A,M,F,11.77700805,43.55581128,-1.8,2.32,0.150318963,3.081142381,0.119524046,5.20385931,,,,15.01,0.015873,,0.411407505,-0.582289474
F8-6,Brma,A,M,F,21.60452803,,-2.1,3.24,0.302228063,4.528155651,0.191,5.406976744,13.99404698,122.6830186,0.3246,36.3,0.036309,0.098450704,0.994942866,-0.0445
G1-2,Brma,A,H,G,26.60615055,51.16440737,-1.8,2.93,0.334872906,4.106931869,0.179,5.987179487,,,,36.11,0.08058,,0.989735176,1.120526316
G2-6,Brma,A,H,G,25.4400191,33.94230769,-1.5,3.08,0.395154375,5.142026981,0.135,4.393305439,6.594728438,140.2723134,0.2436,40.34,0.05418,0.153142857,1.105674799,0.425789474
G3-7,Brma,A,H,G,33.56851715,42.37392374,-1.7,3.79,0.491253624,4.037602776,0.19,6.500888099,6.490629934,181.4572249,0.2291,73.11,0.034827,0.133974359,2.003864268,-0.0835
G4-1,Brma,A,H,G,20.99614193,35.4796106,-1.6,3.1,0.410442671,5.474237201,0.141447562,3.865123795,,,,46.68,0.11532,,1.27944719,2.034736842
G5-7,Brma,A,H,G,28.80111312,49.27536232,-1.8,2.85,0.542001089,8.023480499,0.176,3.651452282,10.66095178,173.7770588,0.2438,58.36,0.0459,0.123387097,1.599583076,0.207894737
G6-4,Brma,A,H,G,18.71201702,43.34085779,-1.65,2.84,0.241677145,4.070074788,0.195,5.265200517,4.795093426,241.5309483,0.2283,43.91,0.032384,0.100869565,1.203524552,-0.147789474
G7-4,Brma,A,H,G,31.2678242,59.2690678,-1.65,2.5,0.466688991,5.999599706,0.222,4.787489976,12.31576075,184.7512919,0.2202,49.51,0.0299,0.142176871,1.357014361,-0.213157895
G8-7,Brma,A,H,G,28.75189498,55.90860407,-1.8,2.87,0.589099124,6.197379638,0.170568105,4.251366525,,,,45.73,0.029988,,1.25340874,-0.210842105
H1-4,Brma,A,L,H,16.96397793,49.87893462,-5,3.58,0.098309574,1.324296954,0.123,11.22352941,,,,25.48,0.021156,,0.698378629,-0.443263158
H2-5,Brma,A,L,H,13.80098265,52.80984013,-4.5,3.75,0.092734816,1.172219625,0.168,11.30934533,,,,14.62,0.015048,,0.400718036,-0.604
H3-9,Brma,A,L,H,12.47233047,44.95049505,-3,3.79,0.090244007,1.468126402,0.152850755,9.398782712,2.111791464,126.4009,0.3038,15.11,0.01225,0.108695652,0.414148394,-0.677631579
H4-1,Brma,A,L,H,13.04602966,46.14643545,-3,3.4,0.107028748,1.548314078,0.168,9.296254257,5.089111872,218.8275,0.2315,30.63,0.033488,0.108411215,0.839534435,-0.118736842
H5-6,Brma,A,L,H,17.39969531,49.93055556,-2.6,2.71,0.166957818,2.126515362,0.16,7.779614325,2.601250784,192.2190123,0.2218,26.58,0.017424,0.135,0.728528413,-0.541473684
H6-2,Brma,A,L,H,10.88348069,66.95583596,-3.7,2.36,0.089778376,1.266397617,0.199,9.632408102,,,,4.85,0.00342,,0.132933138,-0.91
H7-3,Brma,A,L,H,20.0549292,45.00354359,-3.3,3.37,0.144114669,1.60006232,0.143,11.4654333,2.997930444,187.7975824,0.2585,22.12,0.01204,0.101111111,0.606284744,-0.683157895
H8-4,Brma,A,L,H,25.85837434,40.81632653,-2.6,3.59,0.318085231,3.235145509,0.137573153,6.892718607,4.011635133,171.9760163,0.2647,16.28,0.017712,0.106034483,0.4462168,-0.533894737
I1-5,Brma,A,M,I,21.13011556,37.6875,-2.1,2.92,0.414440085,4.657779108,0.093859507,3.918425261,4.330267268,204.1219231,0.2222,69.39,0.04608,0.126213592,1.901903181,0.212631579
I2-1,Brma,A,M,I,24.16996325,55.93041645,-2,3.28,0.336258903,4.686535233,0.231,5.9375,6.38347411,172.3676842,0.2586,40.2,0.0336,0.110465116,1.101837554,-0.115789474
I3-8,Brma,A,M,I,23.66795167,42.41417497,-1.9,3.02,0.449481966,6.489055075,0.197,3.554621849,,,,34.35,0.0312,,0.941495522,-0.178947368
I4-5,Brma,A,M,I,22.12747945,44.63791057,-1.8,3.04,0.390398622,5.76569576,0.225,4.427645788,10.18436146,205.3411254,0.2372,52.82,0.0612,0.110283688,1.447737801,0.610526316
I5-1,Brma,A,M,I,11.38367144,67.33457596,-1.85,2.37,0.076566269,1.188036682,0.119,10.59664694,5.706947708,215.2867647,0.2323,44.93,0.0286,0.109677419,1.231481624,-0.247368421
I6-1,Brma,A,M,I,12.6875584,48.08176101,-2,2.27,0.165287533,3.511732086,0.158,4.935622318,,,,70.07,0.116932,,1.920541229,2.077157895
I7-9,Brma,A,M,I,9.858592995,58.51680185,-2,2.09,0.154570812,2.553696019,0.142,4.069940476,,,,2.24,0.006075,,0.061395923,-0.840131579
I8-9,Brma,A,M,I,15.69476033,39.58944282,-2.5,2.89,0.176063327,2.520838689,0.122442096,6.434847621,7.472458305,142.2444404,0.259,21.14,0.048336,0.133173077,0.579424027,0.272
A2-3,Brni,A,M,A,26.27321236,46.99279404,-1,4.28,0.402666667,4.553333333,0.208,5.651537335,2.372688379,77.43362712,0.2986,82.68,0.263175,0.184375,1.249623296,-0.046467391
A5-1,Brni,A,M,A,51.82653358,39.10978286,-0.7,6.46,0.602666667,5.356666667,0.289,7.38643435,3.679567643,80.67394231,0.3139,154.84,0.3744,0.16,2.340247594,0.356521739
A6-7,Brni,A,M,A,17.82368539,50.99908711,-1.3,5.47,0.275878338,5.515304225,0.247475104,5.048291105,3.394328088,6.413552099,0.4057,150.9,0.143856,1.206426735,2.28069854,-0.478782609
A7-6,Brni,A,M,A,44.80099287,45.55215021,-1.5,5.2,0.738163124,6.543631126,0.292631557,5.932087409,3.53090283,163.0286449,0.234,40.9,0.365472,0.142666667,0.6181615,0.324173913
A8-2,Brni,A,M,A,40.94041862,44.04062862,-1.3,4.59,0.675603015,7.199207446,0.24231206,5.231903398,1.82931806,213.4376316,0.2201,173.22,0.349758,0.122580645,2.61804242,0.26723913
B1-4,Brni,A,H,B,30.44732884,60.38013316,-0.3,5.82,0.385051255,6.177756973,0.289339814,6.008989362,2.704176718,188.4992391,0.2226,74.41,0.743589,0.137313433,1.124630738,1.694163043
B3-8,Brni,A,H,B,30.2709309,43.26462434,-1.1,4.07,0.408571082,6.431623052,0.343268138,5.584729242,6.110446395,194.5941341,0.2521,180.37,0.598752,0.102873563,2.726107328,1.169391304
B5-9,Brni,A,H,B,22.74028373,55.17618384,-0.8,4.13,0.222894472,3.534753627,0.226493784,7.195711994,6.346218965,144.9816031,0.3055,62.99,0.6424,0.09390681,0.952029165,1.327536232
B6-3,Brni,A,H,B,22.0231847,50.74679879,0,2.99,0.251333333,3.103333333,0.178,6.433941998,3.56311393,142.5970548,0.3212,2.77,0.170289,0.086390533,0.041865705,-0.38301087
C1-6,Brni,A,H,C,34.06423199,45.27907363,-0.4,5.16,0.467458711,5.908694905,0.253993918,5.977297778,7.470872962,78.77715247,0.242,121.39,0.35695,0.275308642,1.834685194,0.293297101
C5-4,Brni,A,H,C,9.708727351,53.26091492,-0.4,5.54,0.115666667,1.98,0.226,5.892255892,2.15778981,44.46712919,0.3389,7.28,0.11008,0.248809524,0.110029724,-0.60115942
C6-4,Brni,A,H,C,33.65674338,53.64317113,-1.75,4.58,0.385368673,5.015652394,0.282316657,6.782046061,3.303062332,130.4792245,0.2917,,0.018,0.114485981,,-0.934782609
C8-9,Brni,A,H,C,30.2058039,30.77865138,-0.4,5.65,0.506567815,6.166733799,0.194937909,4.722460751,3.230460507,134.1720082,0.2267,56.48,0.83916,0.184848485,0.853637201,2.040434783
D1-5,Brni,A,L,D,8.014377343,58.3471909,-1.4,3.34,0.0708,0.956666667,0.112,8.470383275,6.377799506,37.66242105,0.3093,6.32,0.02052,0.353723404,0.09552031,-0.925652174
D2-6,Brni,A,L,D,38.63078666,71.04652632,-1.4,6.02,0.359,3.916666667,0.345,8.876595745,1.581642334,147.6318421,0.2744,24.82,0.034272,0.114,0.375128812,-0.875826087
D3-1,Brni,A,L,D,14.20573917,106.7639376,0,4.36,0.217,4.176666667,0.339,4.85235435,5.224250235,36.07040121,0.3757,6.67,0.00832,0.250189394,0.100810201,-0.969855072
D4-9,Brni,A,L,D,46.33963475,65.90524839,-2,6,0.599333333,6.24,0.347,7.088675214,3.778912053,174.8678539,0.262,38.98,0.111375,0.105797101,0.589142671,-0.596467391
D7-1,Brni,A,L,D,3.024759065,69.71467419,-2.05,3.21,0.039166667,0.547333333,0.137,6.163215591,4.438077494,177.8126512,0.2335,18.1,0.221076,0.131097561,0.273562913,-0.199
E1-4,Brni,A,L,E,42.93566475,65.85400303,-0.65,5.32,0.33,3.24,0.319,10.73045267,1.409007361,66.31917431,0.3192,28.64,0.11934,0.187931034,0.43286419,-0.567608696
E2-4,Brni,A,L,E,8.899372291,106.3609405,-1.4,4.66,0.084133333,1.31,0.212,7.41475827,2.842014791,157.7445263,0.2297,32.32,0.22785,0.153225806,0.48848361,-0.174456522
E4-2,Brni,A,L,E,17.60560264,85.62819058,-0.3,4.13,0.103333333,1.65,0.171,8.464646465,2.204200159,140.5290789,0.306,29.97,0.0578,0.096202532,0.452965774,-0.79057971
E5-4,Brni,A,L,E,23.0563311,40.2545322,-1.6,5.81,0.272666667,3.886666667,0.252,7.109777015,1.513613165,227.0602632,0.2613,70.96,0.26884,0.08172043,1.072487531,-0.025942029
E7-7,Brni,A,L,E,23.03545825,48.48972035,-1.1,5.55,0.242485622,4.093927401,0.297960468,6.980807882,0.882324981,2.78612796,,46.92,0.10619,0.799667774,0.709147618,-0.615253623
F3-1,Brni,A,M,F,13.01025236,47.93455752,-0.45,6.24,0.15,2.71,0.218,6.051660517,1.400978481,254.9591549,0.2154,216.88,0.535432,0.107575758,3.277918485,0.939971014
F6-8,Brni,A,M,F,35.38100136,39.15360845,-0.9,5.1,0.662333333,6.976666667,0.256,4.988055423,3.976055822,147.4168699,0.2634,119.83,0.36888,0.124242424,1.811107396,0.336521739
F7-1,Brni,A,M,F,15.41282036,60.84306392,-0.95,3.81,0.20864817,3.832713604,0.203158727,5.325806743,3.295486639,117.7456731,0.2167,122.01,0.56511,0.231111111,1.844055858,1.0475
G8-1,Brni,A,H,G,27.68500129,62.39830381,-0.5,3.18,0.484769553,5.8143255,0.191145911,4.458588814,3.022533945,252.9149541,0.2565,37.91,0.13475,0.076760563,0.57297072,-0.511775362
H1-2,Brni,A,L,H,30.14188903,51.66046456,-1.9,4.8,0.228666667,3.333333333,0.245,7.76,2.639192913,44.30809237,0.2957,36.13,0.27328,0.327631579,0.546067848,-0.009855072
