Plot,Species,Lifeform,Treatment,Structure,photo,lma,wp,leaf.n,g,e,phis2,wue,rld,srl,rdiam,fitness,canopy,rtd,relfit,relcanopy
G6-8,Saap,P,H,G,24.94793774,152.1169458,-0.65,2.125,0.327,3.9075,0.289,6.449136276,5.998607078,22.29391655,0.3179,1015,0.336,0.56541555,1.441868646,-0.076923077
G7-2,Saap,P,H,G,23.2927019,60.35043917,-0.6,2.24,0.34775,4.37,0.231,5.594965675,2.579780713,53.92176,0.3588,,0.109242,0.183823529,,-0.699884615
G8-5,Saap,P,H,G,30.38692418,87.00701198,-0.9,2.35,0.55825,6.4525,0.271,4.730724525,6.497850576,54.08368946,0.3544,775.5,0.827925,0.1872,1.101644468,1.274519231
H1-1,Saap,P,L,H,26.73999419,81.11078267,-1.4,3.45,0.307333333,4.313333333,0.278,6.931993818,4.143301341,33.64490028,0.299,,0.3219,0.422891566,,-0.115659341
H2-2,Saap,P,L,H,19.75448041,108.2794601,-1.5,3.09,0.166666667,2.686666667,0.342,8.759305211,1.957516647,123.7923125,0.2522,4,0.19152,0.161616162,0.005682241,-0.473846154
H4-2,Saap,P,L,H,27.7445141,95.87411017,-1.7,2.91,0.20725,2.4975,0.252,9.499499499,6.361922975,33.95056476,0.3734,,0.1044,0.268811881,,-0.713186813
H5-1,Saap,P,L,H,44.37610082,116.671429,-1.8,3.68,0.299,3.125,0.363,13.272,2.719428974,18.21085903,0.3169,213.5,0.332196,0.694897959,0.303289612,-0.087373626
H7-7,Saap,P,L,H,,92.63776725,-1.75,4.32,,,,,1.08301742,79.92732143,0.2672,30,0.076,0.224,0.042616807,-0.791208791
H8-6,Saap,P,L,H,25.8167788,103.0859922,-1.4,3.31,0.147,1.86,0.331,13.8172043,4.399094697,10.40809255,0.3731,325,0.24115,0.879192547,0.461682079,-0.3375
I2-9,Saap,P,M,I,21.96130446,103.1179924,-1.15,2.52,0.283,4.3625,0.322,6.223495702,8.523721404,47.52803458,0.3992,105,0.1675,0.168042813,0.149158825,-0.539835165
I3-3,Saap,P,M,I,17.82629269,115.7935226,-1.3,1.52,0.27475,4.715,0.263,4.67126193,3.478738498,101.8685274,0.2602,14.5,0.0666,0.184810127,0.020598124,-0.817032967
I4-3,Saap,P,M,I,43.89933129,113.452794,-1,2.5,0.522837011,6.076115966,0.366579882,7.202020555,1.985276138,68.49754386,0.3172,850.5,0.42032,0.185064935,1.208186486,0.154725275
I5-4,Saap,P,M,I,13.46321248,121.2020876,-0.8,2.08,0.09014576,1.577621182,0.22145317,9.876849869,,,,10.5,0.329208,,0.014915883,-0.095582418
I7-7,Saap,P,M,I,36.42708095,87.57267783,-1.1,3.219000892,0.5095,5.595,0.304,6.246648794,3.256093609,28.87302222,0.4569,,0.216664,0.211267606,,-0.404769231
I8-1,Saap,P,M,I,27.11256425,110.9053942,-1.1,2.42,0.23175,2.97,0.331,9.141414141,,,,629.1,0.316572,,0.893674448,-0.130296703
